2024-07-06 11:14:04.243517;152;H=71;T=29;Hs=55.2191;sp=20;sf=12;rx_timestamp=1445872946; rssi=-114; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:15:07.688491;155;H=72;T=29;Hs=55.11222;sp=20;sf=7;rx_timestamp=1508362907; rssi=-109; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:15:29.211616;156;H=72;T=29;Hs=55.11222;sp=20;sf=12;rx_timestamp=1531403861; rssi=-110; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:16:32.201904;159;H=72;T=29;Hs=55.3616;sp=20;sf=7;rx_timestamp=1593897741; rssi=-103; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:16:55.147626;160;H=72;T=29;Hs=55.3616;sp=20;sf=12;rx_timestamp=1616941697; rssi=-120; snr=-7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:17:57.641393;163;H=72;T=29;Hs=55.43285;sp=20;sf=7;rx_timestamp=1679432670; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:18:20.674408;164;H=72;T=29;Hs=55.43285;sp=20;sf=12;rx_timestamp=1702472635; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:20:48.710302;171;H=71;T=29;Hs=55.25472;sp=20;sf=7;rx_timestamp=1850498477; rssi=-109; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:21:12.591547;172;H=71;T=29;Hs=55.25472;sp=20;sf=12;rx_timestamp=1873540442; rssi=-128; snr=-13.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:22:16.737621;175;H=72;T=29;Hs=55.07659;sp=20;sf=7;rx_timestamp=1938124386; rssi=-105; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:22:39.677911;176;H=72;T=29;Hs=55.07659;sp=20;sf=12;rx_timestamp=1961165348; rssi=-118; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:25:14.553295;183;H=69;T=29;Hs=55.2191;sp=20;sf=7;rx_timestamp=2115484172; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:25:36.240841;184;H=69;T=29;Hs=55.2191;sp=20;sf=12;rx_timestamp=2138527132; rssi=-125; snr=-10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:26:38.679925;187;H=69;T=29;Hs=55.29035;sp=20;sf=7;rx_timestamp=2201056131; rssi=-120; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
